epoch,train_loss,train_acc,val_loss,val_acc
1,1.4764853861360323,0.9032738095238095,0.21254758207595095,0.9671848013816926
2,0.21216417405576932,0.9490327380952381,0.16696408597711263,0.9343696027633851
3,0.11492396243626163,0.9657738095238095,0.06739248412247084,0.9775474956822107
4,0.1005527547871073,0.9724702380952381,0.054837922168471005,0.9827288428324698
5,0.04783795450237535,0.9821428571428571,0.05366787337688264,0.9853195164075993
6,0.017802294654150803,0.9933035714285714,0.028738000318918162,0.9922279792746114
7,0.0459104355069853,0.9873511904761905,0.053848190521131656,0.9835924006908463
8,0.03190978665259622,0.9877232142857143,0.035537170662550736,0.9887737478411054
9,0.012490065812709786,0.9947916666666666,0.056463119977912264,0.9896373056994818
10,0.011531875380093143,0.9966517857142857,0.07724445401191057,0.9844559585492227
11,0.02090495784900018,0.9940476190476191,0.03551221775180392,0.9905008635578584
12,0.01595911631981532,0.9959077380952381,0.09898197835381091,0.9740932642487047
13,0.04550298995205334,0.9892113095238095,0.05284917204077819,0.9844559585492227
14,0.028268939815461636,0.9903273809523809,0.02864823208425895,0.9905008635578584
15,0.04229845048948413,0.9903273809523809,0.029496860616084305,0.9896373056994818
16,0.0288017550483346,0.9933035714285714,0.03725415171194193,0.9905008635578584
17,0.027628294103557154,0.9925595238095238,0.05166673848131064,0.9810017271157168
18,0.029102601909211705,0.9910714285714286,0.02952797697066376,0.9887737478411054
19,0.046470841038085166,0.9888392857142857,0.0635886672030887,0.9810017271157168
20,0.05508697387718019,0.9880952380952381,0.07160604048572292,0.9835924006908463
21,0.06242433571744533,0.9877232142857143,0.38098681914006244,0.9153713298791019
22,0.2359255293295497,0.9505208333333334,0.12737074606153959,0.9637305699481865
23,0.04326044470958766,0.9854910714285714,0.06368244668174779,0.9827288428324698
24,0.03357994405641442,0.9906994047619048,0.027332494173170987,0.9965457685664939
25,0.04539050299319483,0.9877232142857143,0.0922558180908041,0.9801381692573402
26,0.023799021018757707,0.9925595238095238,0.03699342947697202,0.9887737478411054
27,0.03475818703217166,0.9888392857142857,0.0315825091619283,0.9930915371329879
28,0.01877428347333556,0.9933035714285714,0.055956077270000015,0.9879101899827288
29,0.024026556295298394,0.9925595238095238,0.05029980308906411,0.9870466321243523
30,0.060221037605688685,0.9858630952380952,0.191854451757345,0.9775474956822107
31,0.040146616065786,0.9869791666666666,0.03182295962355578,0.9905008635578584
32,0.023702390403265043,0.9933035714285714,0.06864227378567182,0.9818652849740933
33,0.051926844975068456,0.9869791666666666,0.02002553447374645,0.9930915371329879
34,0.011382859998515673,0.9959077380952381,0.026773854255108497,0.9939550949913645
35,0.013216623859036537,0.9966517857142857,0.06181474719846628,0.9853195164075993
36,0.006925456314569428,0.9973958333333334,0.021134502314899533,0.9948186528497409
37,0.00588676870046627,0.9988839285714286,0.026630356132998346,0.9939550949913645
38,0.011566329126556715,0.9966517857142857,0.033999388010529166,0.9922279792746114
39,0.00826628745666572,0.9962797619047619,0.0722425695076003,0.9879101899827288
40,0.008466490633076145,0.9973958333333334,0.02498833846248624,0.9930915371329879
